scope,modality,state,species,count,fraction_of_total_rows,fraction_within_scope
overall,all,resolved,all,140203,0.9821369778568576,0.9821369778568576
overall,all,missing,all,2550,0.01786302214314235,0.01786302214314235
overall_species,all,resolved,human,140203,0.9821369778568576,1.0
overall_species,all,resolved,murine,0,0.0,0.0
overall_species,all,resolved,nhp,0,0.0,0.0
overall_species,all,resolved,other,0,0.0,0.0
overall_species,all,missing,human,2550,0.01786302214314235,1.0
overall_species,all,missing,murine,0,0.0,0.0
overall_species,all,missing,nhp,0,0.0,0.0
overall_species,all,missing,other,0,0.0,0.0
modality,binding,resolved,all,16721,0.11713238951195422,1.0
modality,binding,missing,all,0,0.0,0.0
modality_species,binding,resolved,human,16721,0.11713238951195422,1.0
modality_species,binding,resolved,murine,0,0.0,0.0
modality_species,binding,resolved,nhp,0,0.0,0.0
modality_species,binding,resolved,other,0,0.0,0.0
modality_species,binding,missing,human,0,0.0,0.0
modality_species,binding,missing,murine,0,0.0,0.0
modality_species,binding,missing,nhp,0,0.0,0.0
modality_species,binding,missing,other,0,0.0,0.0
modality,elution,resolved,all,122480,0.8579854714086569,0.9796048948252419
modality,elution,missing,all,2550,0.01786302214314235,0.02039510517475806
modality_species,elution,resolved,human,122480,0.8579854714086569,1.0
modality_species,elution,resolved,murine,0,0.0,0.0
modality_species,elution,resolved,nhp,0,0.0,0.0
modality_species,elution,resolved,other,0,0.0,0.0
modality_species,elution,missing,human,2550,0.01786302214314235,1.0
modality_species,elution,missing,murine,0,0.0,0.0
modality_species,elution,missing,nhp,0,0.0,0.0
modality_species,elution,missing,other,0,0.0,0.0
modality,kinetics,resolved,all,2,1.4010213445601844e-05,1.0
modality,kinetics,missing,all,0,0.0,0.0
modality_species,kinetics,resolved,human,2,1.4010213445601844e-05,1.0
modality_species,kinetics,resolved,murine,0,0.0,0.0
modality_species,kinetics,resolved,nhp,0,0.0,0.0
modality_species,kinetics,resolved,other,0,0.0,0.0
modality_species,kinetics,missing,human,0,0.0,0.0
modality_species,kinetics,missing,murine,0,0.0,0.0
modality_species,kinetics,missing,nhp,0,0.0,0.0
modality_species,kinetics,missing,other,0,0.0,0.0
modality,stability,resolved,all,1000,0.007005106722800922,1.0
modality,stability,missing,all,0,0.0,0.0
modality_species,stability,resolved,human,1000,0.007005106722800922,1.0
modality_species,stability,resolved,murine,0,0.0,0.0
modality_species,stability,resolved,nhp,0,0.0,0.0
modality_species,stability,resolved,other,0,0.0,0.0
modality_species,stability,missing,human,0,0.0,0.0
modality_species,stability,missing,murine,0,0.0,0.0
modality_species,stability,missing,nhp,0,0.0,0.0
modality_species,stability,missing,other,0,0.0,0.0
