modality,field,records,source_present,record_present,matched,dropped,invented,changed
binding,pmid,241803,62712,0,179091,62712,0,0
binding,doi,241803,0,0,241803,0,0,0
binding,reference_text,241803,179091,0,62712,179091,0,0
binding,evidence_row_id,241803,0,0,241803,0,0,0
binding,assay_iri,241803,0,0,241803,0,0,0
binding,reference_iri,241803,0,0,241803,0,0,0
kinetics,pmid,102,102,0,0,102,0,0
kinetics,doi,102,0,0,102,0,0,0
kinetics,reference_text,102,0,0,102,0,0,0
kinetics,evidence_row_id,102,0,0,102,0,0,0
kinetics,assay_iri,102,0,0,102,0,0,0
kinetics,reference_iri,102,0,0,102,0,0,0
stability,pmid,12259,3131,0,9128,3131,0,0
stability,doi,12259,0,0,12259,0,0,0
stability,reference_text,12259,9128,0,3131,9128,0,0
stability,evidence_row_id,12259,0,0,12259,0,0,0
stability,assay_iri,12259,0,0,12259,0,0,0
stability,reference_iri,12259,0,0,12259,0,0,0
processing,pmid,0,0,0,0,0,0,0
processing,doi,0,0,0,0,0,0,0
processing,reference_text,0,0,0,0,0,0,0
processing,evidence_row_id,0,0,0,0,0,0,0
processing,assay_iri,0,0,0,0,0,0,0
processing,reference_iri,0,0,0,0,0,0,0
elution,pmid,2073797,2061734,0,12063,2061734,0,0
elution,doi,2073797,0,0,2073797,0,0,0
elution,reference_text,2073797,12063,0,2061734,12063,0,0
elution,evidence_row_id,2073797,0,0,2073797,0,0,0
elution,assay_iri,2073797,0,0,2073797,0,0,0
elution,reference_iri,2073797,0,0,2073797,0,0,0
tcell,pmid,207987,171899,0,36088,171899,0,0
tcell,doi,207987,0,0,207987,0,0,0
tcell,reference_text,207987,36088,0,171899,36088,0,0
tcell,evidence_row_id,207987,0,0,207987,0,0,0
tcell,assay_iri,207987,0,0,207987,0,0,0
tcell,reference_iri,207987,0,0,207987,0,0,0
tcr_evidence,pmid,166285,127095,0,39190,127095,0,0
tcr_evidence,doi,166285,1316,0,164969,1316,0,0
tcr_evidence,reference_text,166285,125806,0,40479,125806,0,0
tcr_evidence,evidence_row_id,166285,0,0,166285,0,0,0
tcr_evidence,assay_iri,166285,0,0,166285,0,0,0
tcr_evidence,reference_iri,166285,0,0,166285,0,0,0
